1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,Day,Group,Day.1,Total
0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,92,84,102,60,77,217,113,340,411,419,347,381,604,434,243,63,136,80,104,312,185,15,0,0,6,0,0,365,514,178,418,219,638,423,288,401,335,234,184,63,0,36,0,0,224,0,0,0,0,0,0,97,71,104,0,41,26,0,12,29,94,160,250,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Summer,Friday,10441
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,73,0,0,103,186,260,58,27,65,13,52,188,314,37,198,323,118,42,175,165,87,51,0,0,38,458,137,251,291,865,925,981,1128,936,858,99,309,1079,1162,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,Summer.W,Saturday,12211
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,75,0,8,0,16,73,88,123,190,6,238,153,205,93,66,28,0,0,32,0,131,193,838,862,803,964,880,858,824,601,37,377,103,67,451,456,488,241,375,113,62,0,87,67,16,77,131,5,0,9,111,9,17,0,24,116,73,0,0,0,0,0,0,0,0,0,20,Summer.W,Sunday,11929
0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,25,44,0,0,0,9,0,43,317,45,25,724,958,997,1036,895,1114,786,342,196,93,29,94,32,25,37,18,0,83,0,12,100,29,14,0,0,148,1039,965,794,952,721,936,597,66,182,71,0,158,374,402,389,198,503,490,386,0,32,8,5,106,94,25,419,0,16,0,0,0,0,0,21,Summer,Monday,18244
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,26,250,0,44,69,144,138,6,25,0,0,30,33,53,5,8,128,9,567,1289,1049,1183,1225,801,434,60,4,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,8,89,0,11,0,0,0,0,0,0,0,0,0,0,0,6,0,0,22,Summer,Tuesday,7781
0,0,5,0,0,7,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,105,25,19,66,0,120,0,0,0,86,88,497,993,1212,1018,895,436,13,119,100,59,0,27,0,92,749,952,1124,1014,21,79,114,187,63,610,741,709,817,758,1055,692,943,449,78,279,345,298,192,269,219,198,142,135,191,233,270,247,241,559,67,0,28,0,12,372,114,14,273,0,0,0,0,0,23,Summer,Wednesday,21847
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,99,0,42,103,29,104,0,58,27,219,314,259,131,161,76,112,26,210,340,396,123,85,445,279,119,31,88,42,84,253,338,692,864,922,1031,860,947,1039,672,277,573,194,220,364,115,410,330,105,52,211,402,247,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Summer,Thursday,15151
0,0,0,0,0,9,0,382,806,514,94,36,110,0,0,10,0,0,0,0,20,0,7,0,460,393,639,676,23,0,31,0,36,30,97,31,0,7,10,4,193,141,58,407,946,35,8,0,5,32,1187,95,27,227,372,413,473,189,0,0,152,57,231,93,246,123,56,0,46,22,47,139,46,0,123,93,308,234,14,15,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,Summer,Friday,11313
0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,32,57,0,0,22,37,0,27,34,16,173,0,0,0,0,16,96,52,88,28,0,0,0,36,0,172,211,177,1393,1338,660,188,147,360,307,85,0,84,52,15,137,1018,680,1051,0,98,39,46,66,41,15,10,0,164,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,Summer.W,Saturday,9300
0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,10,124,194,42,819,1426,1060,905,40,11,0,0,0,0,0,173,580,45,493,883,509,185,653,371,0,282,861,587,421,133,42,0,44,79,46,0,72,747,1240,1249,457,123,77,217,327,0,9,43,23,39,59,78,24,9,0,108,903,72,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,27,Summer.W,Sunday,16925
0,0,0,0,0,0,0,0,0,0,0,54,74,166,194,843,0,0,0,472,0,9,6,7,19,0,0,0,0,0,0,7,0,565,1399,787,8,0,244,941,0,0,0,146,33,0,0,11,616,1212,86,0,9,296,21,0,177,595,1213,1206,563,363,202,0,9,124,0,4,9,31,51,35,9,15,24,0,111,16,23,86,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,School,Tuesday,13098
0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,132,109,14,0,35,45,127,147,1410,21,0,0,282,61,84,23,117,439,72,8,7,640,1126,131,0,11,12,0,24,80,32,19,80,216,65,29,925,870,363,531,680,621,664,516,308,399,671,481,471,35,0,648,536,6,8,0,31,0,0,43,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,30,School,Wednesday,14426
0,0,0,0,0,0,0,0,0,0,65,52,65,209,470,404,0,0,0,0,0,334,77,36,56,0,58,0,9,27,0,0,9,0,0,0,421,631,425,310,387,0,216,825,123,119,19,24,62,0,111,99,0,57,65,68,25,55,0,0,7,0,23,0,24,0,65,0,48,0,28,42,1135,220,22,49,0,31,0,0,35,35,0,0,44,0,0,0,0,0,0,0,0,0,0,0,31,School,Thursday,7721
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,44,109,127,102,14,164,313,839,17,0,0,608,415,22,0,159,339,101,224,66,200,1053,92,320,26,24,82,0,0,12,40,16,0,7,0,27,39,24,86,133,24,68,30,92,16,20,23,21,0,5,10,0,16,57,14,0,26,0,0,14,9,0,132,15,0,0,0,0,0,0,0,0,0,0,0,0,32,School,Friday,6465
0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,70,0,0,39,27,19,10,0,0,0,32,14,0,0,0,145,182,25,8,0,63,127,24,320,290,95,8,48,330,164,14,8,223,0,8,111,19,112,153,108,0,10,222,154,0,0,16,0,132,0,224,204,16,17,0,0,0,70,0,0,0,0,0,0,0,0,10,0,0,0,0,0,33,School.W,Saturday,3893
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,40,69,0,57,46,47,26,29,8,22,12,32,11,73,29,89,73,266,551,559,161,115,381,294,180,96,0,37,0,25,53,163,56,0,500,1059,618,90,0,0,6,0,0,5,8,35,8,9,59,16,0,0,0,31,7,0,108,7,0,0,0,0,0,0,0,0,0,0,34,School.W,Sunday,6208
